Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17.0,8.462414675302147e-05,Fast (<24h)
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16.0,5.910281149334409e-06,Fast (<24h)
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595,Unknown,Social Engineering,AI-based Detection,3.0,0.0002132750033984602,Fast (<24h)
Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67.0,8.50091543138441e-06,Medium (24-72h)
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,AI-based Detection,63.0,2.8210744328058288e-05,Medium (24-72h)
China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5.0,7.778370337103882e-05,Fast (<24h)
Germany,2022,SQL Injection,Education,68.96,710896,Nation-state,Zero-day,Firewall,18.0,9.700434381400372e-05,Fast (<24h)
India,2023,SQL Injection,Retail,2.85,30883,Nation-state,Weak Passwords,AI-based Detection,51.0,9.22837807207849e-05,Medium (24-72h)
UK,2020,SQL Injection,Government,53.76,153355,Unknown,Zero-day,Encryption,57.0,0.00035055916011867886,Medium (24-72h)
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,Unpatched Software,Firewall,42.0,0.0002670982152089839,Medium (24-72h)
Australia,2016,SQL Injection,IT,43.76,959797,Nation-state,Social Engineering,Antivirus,32.0,4.5592974347700605e-05,Medium (24-72h)
China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12.0,1.8829802496293815e-05,Fast (<24h)
Japan,2024,Man-in-the-Middle,IT,63.57,358626,Unknown,Weak Passwords,VPN,26.0,0.0001772598751903097,Medium (24-72h)
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,Insider,Social Engineering,Firewall,43.0,0.00017526988460106715,Medium (24-72h)
India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69.0,0.003467043871131191,Medium (24-72h)
USA,2017,Man-in-the-Middle,IT,5.21,22635,Unknown,Unpatched Software,AI-based Detection,8.0,0.00023017450850452837,Fast (<24h)
UK,2017,SQL Injection,Government,98.75,894933,Insider,Weak Passwords,Antivirus,59.0,0.00011034345587881997,Medium (24-72h)
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3.0,0.00021352285705466558,Fast (<24h)
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,Social Engineering,Encryption,55.0,1.252133743282191e-05,Medium (24-72h)
France,2022,DDoS,Healthcare,6.48,727601,Insider,Social Engineering,Encryption,50.0,8.90598006324895e-06,Medium (24-72h)
UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41.0,0.00010413558073132542,Medium (24-72h)
India,2023,Ransomware,Education,41.15,352194,Nation-state,Unpatched Software,Firewall,10.0,0.00011683901486112767,Fast (<24h)
France,2019,Malware,Healthcare,39.83,571521,Nation-state,Weak Passwords,Antivirus,8.0,6.969122744396093e-05,Fast (<24h)
Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30.0,5.099269129759738e-05,Medium (24-72h)
Brazil,2022,Phishing,Banking,98.06,884502,Insider,Unpatched Software,AI-based Detection,55.0,0.00011086464473794294,Medium (24-72h)
China,2015,Ransomware,IT,57.27,762001,Nation-state,Social Engineering,VPN,67.0,7.515738168322615e-05,Medium (24-72h)
France,2016,DDoS,Government,82.49,351330,Nation-state,Weak Passwords,VPN,57.0,0.00023479349898955395,Medium (24-72h)
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,Unpatched Software,AI-based Detection,43.0,0.00023863586052483442,Medium (24-72h)
USA,2016,SQL Injection,Government,77.45,632319,Unknown,Weak Passwords,AI-based Detection,47.0,0.00012248564411317705,Medium (24-72h)
India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39.0,0.00021439318665720367,Medium (24-72h)
France,2018,Ransomware,Telecommunications,11.28,504165,Hacker Group,Zero-day,AI-based Detection,55.0,2.237362768141382e-05,Medium (24-72h)
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,Social Engineering,VPN,45.0,4.964944971521595e-05,Medium (24-72h)
UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33.0,0.00014280133998887542,Medium (24-72h)
Russia,2019,SQL Injection,Banking,59.78,681856,Insider,Zero-day,VPN,52.0,8.767247043363994e-05,Medium (24-72h)
Germany,2024,DDoS,Retail,38.65,197609,Nation-state,Social Engineering,VPN,15.0,0.00019558825761984525,Fast (<24h)
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53.0,0.00012445807693374055,Medium (24-72h)
Japan,2024,Ransomware,Retail,37.49,835730,Insider,Zero-day,VPN,14.0,4.4858985557536525e-05,Fast (<24h)
Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33.0,5.3517889431621726e-05,Medium (24-72h)
France,2019,Phishing,Retail,3.0,298096,Unknown,Social Engineering,Firewall,16.0,1.006387204122162e-05,Fast (<24h)
UK,2023,Phishing,Retail,33.06,18579,Unknown,Social Engineering,VPN,13.0,0.0017794283868884226,Fast (<24h)
UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70.0,0.00014446656383527146,Medium (24-72h)
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,Unpatched Software,Encryption,33.0,9.660978718982606e-05,Medium (24-72h)
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16.0,0.0002264099957536062,Fast (<24h)
Russia,2017,Ransomware,Education,88.9,444399,Insider,Zero-day,Encryption,38.0,0.00020004545464773774,Medium (24-72h)
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,Unpatched Software,Firewall,58.0,1.033728643633738e-05,Medium (24-72h)
Brazil,2023,Ransomware,Retail,66.38,608520,Hacker Group,Zero-day,VPN,14.0,0.00010908433576546375,Fast (<24h)
Australia,2020,DDoS,Healthcare,91.45,471113,Hacker Group,Unpatched Software,AI-based Detection,71.0,0.0001941147877473133,Medium (24-72h)
Germany,2015,Man-in-the-Middle,Retail,63.65,311253,Nation-state,Weak Passwords,AI-based Detection,36.0,0.0002044960209218867,Medium (24-72h)
Brazil,2023,DDoS,IT,84.19,390409,Insider,Zero-day,AI-based Detection,31.0,0.00021564564341498274,Medium (24-72h)
China,2015,SQL Injection,IT,28.35,604786,Unknown,Zero-day,VPN,34.0,4.6876085094562374e-05,Medium (24-72h)
China,2024,SQL Injection,Government,84.23,568377,Unknown,Social Engineering,Antivirus,38.0,0.00014819389243407106,Medium (24-72h)
Russia,2020,SQL Injection,Telecommunications,29.89,267678,Insider,Zero-day,AI-based Detection,13.0,0.00011166401422604771,Fast (<24h)
Australia,2020,Malware,Education,5.95,592485,Insider,Weak Passwords,Firewall,10.0,1.0042448332025284e-05,Fast (<24h)
USA,2018,DDoS,Government,84.85,639011,Insider,Weak Passwords,Firewall,26.0,0.0001327833167191175,Medium (24-72h)
China,2023,Man-in-the-Middle,Telecommunications,28.82,446243,Unknown,Zero-day,Firewall,66.0,6.458364613002333e-05,Medium (24-72h)
Germany,2016,DDoS,Government,22.48,10438,Nation-state,Unpatched Software,Encryption,10.0,0.002153669285303698,Fast (<24h)
Brazil,2023,SQL Injection,IT,97.37,796195,Nation-state,Social Engineering,Firewall,20.0,0.0001222941616061392,Fast (<24h)
Australia,2020,SQL Injection,Telecommunications,53.32,55392,Unknown,Zero-day,VPN,44.0,0.0009625938763720393,Medium (24-72h)
Germany,2016,DDoS,IT,63.11,579291,Hacker Group,Unpatched Software,Encryption,6.0,0.00010894351888774381,Fast (<24h)
Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61.0,8.869473795942712e-05,Medium (24-72h)
France,2022,Malware,IT,92.29,727826,Unknown,Weak Passwords,Encryption,63.0,0.00012680228516156336,Medium (24-72h)
Russia,2023,Malware,IT,98.07,608695,Nation-state,Unpatched Software,AI-based Detection,31.0,0.00016111517262339922,Medium (24-72h)
Australia,2019,SQL Injection,Retail,13.96,496667,Unknown,Zero-day,Antivirus,45.0,2.8107363686333098e-05,Medium (24-72h)
Japan,2024,Malware,Retail,56.9,353887,Unknown,Weak Passwords,Antivirus,59.0,0.00016078578755365414,Medium (24-72h)
China,2019,Ransomware,Banking,32.69,713584,Insider,Weak Passwords,Firewall,26.0,4.581100473104778e-05,Medium (24-72h)
India,2017,DDoS,IT,70.09,417831,Unknown,Unpatched Software,Encryption,36.0,0.0001677472470927241,Medium (24-72h)
USA,2019,Ransomware,Banking,22.62,51219,Unknown,Zero-day,Encryption,36.0,0.00044163298775844905,Medium (24-72h)
UK,2017,Ransomware,Retail,47.91,153257,Insider,Zero-day,Encryption,59.0,0.00031261214822161465,Medium (24-72h)
Russia,2017,Phishing,Retail,20.58,768022,Unknown,Zero-day,VPN,64.0,2.6796107403173346e-05,Medium (24-72h)
France,2024,Phishing,Banking,26.29,314347,Hacker Group,Unpatched Software,Antivirus,28.0,8.363369143017111e-05,Medium (24-72h)
Germany,2020,Phishing,IT,33.51,649406,Insider,Social Engineering,Firewall,27.0,5.160100153062953e-05,Medium (24-72h)
Japan,2023,Phishing,Education,68.28,744595,Insider,Zero-day,Antivirus,44.0,9.170085751314473e-05,Medium (24-72h)
Brazil,2021,DDoS,Banking,14.72,126781,Insider,Weak Passwords,Antivirus,32.0,0.00011610572562134705,Medium (24-72h)
France,2015,Phishing,Retail,44.29,427167,Insider,Unpatched Software,Encryption,11.0,0.00010368310286141018,Fast (<24h)
Australia,2023,Ransomware,Retail,41.54,396865,Insider,Social Engineering,AI-based Detection,42.0,0.00010467035389868091,Medium (24-72h)
UK,2019,Phishing,Telecommunications,90.67,902952,Unknown,Weak Passwords,Encryption,8.0,0.00010041508297229531,Fast (<24h)
USA,2023,Ransomware,IT,34.94,632075,Insider,Social Engineering,Encryption,64.0,5.527825020764941e-05,Medium (24-72h)
France,2017,SQL Injection,Healthcare,83.73,728486,Nation-state,Social Engineering,Encryption,61.0,0.00011493700633917468,Medium (24-72h)
Australia,2018,DDoS,Education,64.62,109439,Insider,Zero-day,Antivirus,32.0,0.0005904659216549859,Medium (24-72h)
India,2018,Malware,Education,86.38,1174,Insider,Weak Passwords,VPN,23.0,0.07357751277683135,Fast (<24h)
Russia,2024,Phishing,Education,25.7,953987,Insider,Social Engineering,AI-based Detection,65.0,2.69395704553626e-05,Medium (24-72h)
Brazil,2021,DDoS,Government,56.2,713309,Hacker Group,Zero-day,Antivirus,51.0,7.878773434794739e-05,Medium (24-72h)
Russia,2021,DDoS,Healthcare,11.38,334528,Insider,Weak Passwords,VPN,5.0,3.4018079204132394e-05,Fast (<24h)
USA,2016,Phishing,IT,92.53,219826,Nation-state,Social Engineering,Antivirus,38.0,0.0004209238215679674,Medium (24-72h)
USA,2015,SQL Injection,Telecommunications,88.6,916744,Nation-state,Social Engineering,Antivirus,47.0,9.664639201347376e-05,Medium (24-72h)
USA,2017,Man-in-the-Middle,IT,30.4,568560,Hacker Group,Zero-day,AI-based Detection,49.0,5.346841142535528e-05,Medium (24-72h)
UK,2019,Malware,Education,90.7,440178,Insider,Unpatched Software,VPN,15.0,0.0002060530058294599,Fast (<24h)
Japan,2023,SQL Injection,Healthcare,45.38,172628,Insider,Weak Passwords,Encryption,4.0,0.0002628774011168524,Fast (<24h)
USA,2022,Ransomware,Government,71.33,257989,Unknown,Unpatched Software,AI-based Detection,68.0,0.0002764846563225564,Medium (24-72h)
Japan,2021,Phishing,Healthcare,9.42,573560,Hacker Group,Social Engineering,Antivirus,9.0,1.642373945184462e-05,Fast (<24h)
Brazil,2018,Malware,Education,5.27,850056,Hacker Group,Weak Passwords,VPN,65.0,6.199591556320995e-06,Medium (24-72h)
Australia,2018,DDoS,Retail,41.59,860119,Nation-state,Unpatched Software,Encryption,30.0,4.835377430332315e-05,Medium (24-72h)
USA,2015,SQL Injection,Education,98.78,140958,Insider,Social Engineering,AI-based Detection,51.0,0.0007007761177088211,Medium (24-72h)
China,2015,DDoS,Telecommunications,61.24,965727,Nation-state,Zero-day,AI-based Detection,32.0,6.341336630331347e-05,Medium (24-72h)
Russia,2015,Malware,Telecommunications,69.34,20269,Unknown,Social Engineering,VPN,36.0,0.0034209877152301545,Medium (24-72h)
Germany,2015,DDoS,Retail,7.84,323011,Nation-state,Social Engineering,Encryption,25.0,2.4271619232781546e-05,Medium (24-72h)
USA,2016,Ransomware,Retail,57.17,50321,Nation-state,Social Engineering,Antivirus,25.0,0.001136106198207508,Medium (24-72h)
Russia,2020,DDoS,Banking,33.99,851863,Insider,Weak Passwords,Firewall,25.0,3.990078216802467e-05,Medium (24-72h)
China,2024,DDoS,IT,22.45,704925,Unknown,Unpatched Software,AI-based Detection,52.0,3.184735964818952e-05,Medium (24-72h)
France,2018,Ransomware,Banking,27.78,355077,Nation-state,Unpatched Software,VPN,65.0,7.823655150854604e-05,Medium (24-72h)
Australia,2022,Malware,Education,47.12,866057,Unknown,Social Engineering,Antivirus,17.0,5.440750435594885e-05,Fast (<24h)
Germany,2016,SQL Injection,Telecommunications,48.77,169455,Insider,Zero-day,Antivirus,23.0,0.0002878050219822372,Fast (<24h)
India,2023,SQL Injection,IT,92.35,380022,Unknown,Unpatched Software,Encryption,30.0,0.00024301224665940392,Medium (24-72h)
USA,2019,SQL Injection,Retail,88.98,898679,Insider,Zero-day,Firewall,35.0,9.901199427159197e-05,Medium (24-72h)
Japan,2020,Ransomware,IT,61.69,704157,Unknown,Zero-day,Antivirus,42.0,8.76083032619146e-05,Medium (24-72h)
Russia,2022,Malware,Telecommunications,84.57,262201,Nation-state,Weak Passwords,Encryption,54.0,0.00032253881564143534,Medium (24-72h)
Brazil,2021,DDoS,Telecommunications,67.87,683261,Hacker Group,Unpatched Software,Antivirus,13.0,9.933246592444176e-05,Fast (<24h)
USA,2022,Phishing,IT,59.7,382379,Nation-state,Unpatched Software,Firewall,2.0,0.00015612782082698057,Fast (<24h)
Germany,2024,Phishing,Government,90.21,510657,Nation-state,Social Engineering,VPN,62.0,0.0001766547800186818,Medium (24-72h)
UK,2018,SQL Injection,Education,16.23,912558,Nation-state,Unpatched Software,Antivirus,69.0,1.778517091516375e-05,Medium (24-72h)
UK,2020,Ransomware,Banking,16.91,952504,Hacker Group,Zero-day,AI-based Detection,45.0,1.775320628574788e-05,Medium (24-72h)
France,2015,Phishing,Government,41.88,913027,Insider,Unpatched Software,Antivirus,68.0,4.586939926201526e-05,Medium (24-72h)
Brazil,2019,Malware,Government,31.04,269271,Insider,Unpatched Software,Antivirus,58.0,0.00011527420331190511,Medium (24-72h)
India,2016,Ransomware,Healthcare,37.12,113404,Hacker Group,Social Engineering,Antivirus,11.0,0.0003273253148037106,Fast (<24h)
Russia,2023,DDoS,Healthcare,46.2,310868,Hacker Group,Weak Passwords,Antivirus,10.0,0.00014861613289241738,Fast (<24h)
Japan,2024,Man-in-the-Middle,Telecommunications,98.3,458630,Insider,Social Engineering,Antivirus,14.0,0.00021433399472341538,Fast (<24h)
USA,2024,Ransomware,IT,16.61,912183,Unknown,Weak Passwords,Encryption,44.0,1.8209065505496157e-05,Medium (24-72h)
Brazil,2017,Man-in-the-Middle,IT,71.06,871891,Unknown,Social Engineering,Antivirus,52.0,8.150101331473774e-05,Medium (24-72h)
USA,2016,SQL Injection,Government,14.17,863298,Nation-state,Unpatched Software,VPN,15.0,1.641379917479248e-05,Fast (<24h)
Australia,2018,Malware,Healthcare,82.65,434626,Unknown,Social Engineering,AI-based Detection,29.0,0.00019016349689158037,Medium (24-72h)
Australia,2018,Ransomware,IT,78.27,195490,Unknown,Zero-day,Antivirus,63.0,0.00040037853598649543,Medium (24-72h)
UK,2022,Ransomware,Retail,10.44,19404,Nation-state,Unpatched Software,Firewall,32.0,0.0005380333951762523,Medium (24-72h)
Russia,2019,Ransomware,Healthcare,21.95,217438,Hacker Group,Social Engineering,Firewall,14.0,0.0001009483163016584,Fast (<24h)
India,2018,Malware,Healthcare,30.83,481452,Unknown,Weak Passwords,AI-based Detection,57.0,6.403545940197568e-05,Medium (24-72h)
UK,2020,SQL Injection,Education,35.57,386093,Unknown,Unpatched Software,VPN,42.0,9.21280624098339e-05,Medium (24-72h)
France,2019,Man-in-the-Middle,Banking,28.29,929020,Nation-state,Weak Passwords,Antivirus,2.0,3.0451443456545607e-05,Fast (<24h)
USA,2022,Malware,IT,4.06,863756,Nation-state,Unpatched Software,AI-based Detection,66.0,4.700401502276105e-06,Medium (24-72h)
China,2018,Ransomware,Telecommunications,58.28,300898,Nation-state,Unpatched Software,Encryption,18.0,0.00019368689722098519,Fast (<24h)
Japan,2017,SQL Injection,Healthcare,7.31,191328,Insider,Weak Passwords,Encryption,51.0,3.820663990633885e-05,Medium (24-72h)
Germany,2021,Man-in-the-Middle,Banking,37.69,361849,Hacker Group,Zero-day,Firewall,63.0,0.00010415946983410206,Medium (24-72h)
Brazil,2016,Phishing,Retail,27.99,30884,Nation-state,Unpatched Software,Antivirus,26.0,0.0009062945214350472,Medium (24-72h)
Brazil,2024,Ransomware,IT,71.55,902924,Unknown,Social Engineering,Encryption,12.0,7.924254976055571e-05,Fast (<24h)
Brazil,2024,Man-in-the-Middle,Telecommunications,27.13,943178,Nation-state,Weak Passwords,VPN,63.0,2.87644537934515e-05,Medium (24-72h)
Australia,2021,SQL Injection,Telecommunications,10.28,994468,Insider,Unpatched Software,Antivirus,8.0,1.0337185309130108e-05,Fast (<24h)
China,2022,Phishing,Retail,31.35,131361,Insider,Weak Passwords,Firewall,39.0,0.00023865530865325326,Medium (24-72h)
China,2023,Malware,Telecommunications,80.1,237658,Unknown,Zero-day,Antivirus,26.0,0.00033703893830630565,Medium (24-72h)
USA,2017,Ransomware,Banking,42.19,157313,Hacker Group,Unpatched Software,Antivirus,47.0,0.0002681914399954231,Medium (24-72h)
UK,2021,Man-in-the-Middle,Education,40.98,414340,Insider,Unpatched Software,AI-based Detection,10.0,9.890428150794033e-05,Fast (<24h)
France,2020,DDoS,Healthcare,58.8,153523,Insider,Social Engineering,Encryption,22.0,0.0003830045009542544,Fast (<24h)
UK,2019,Phishing,IT,3.33,232665,Unknown,Social Engineering,AI-based Detection,65.0,1.4312423441428664e-05,Medium (24-72h)
Germany,2022,Phishing,Government,58.98,383945,Nation-state,Zero-day,Encryption,49.0,0.00015361575225618252,Medium (24-72h)
Brazil,2023,Ransomware,Government,4.6,762006,Unknown,Weak Passwords,Antivirus,21.0,6.036697873770022e-06,Fast (<24h)
Germany,2019,SQL Injection,Government,96.91,408103,Nation-state,Unpatched Software,Firewall,27.0,0.00023746456164252652,Medium (24-72h)
France,2022,Phishing,Healthcare,85.91,44837,Unknown,Zero-day,AI-based Detection,18.0,0.001916051475344024,Fast (<24h)
Germany,2023,DDoS,Telecommunications,51.49,642699,Unknown,Social Engineering,Firewall,51.0,8.011526391047754e-05,Medium (24-72h)
UK,2021,Ransomware,Telecommunications,3.99,634820,Insider,Unpatched Software,Encryption,33.0,6.285246211524527e-06,Medium (24-72h)
France,2021,Malware,Retail,3.44,887718,Insider,Zero-day,Antivirus,55.0,3.875104481378095e-06,Medium (24-72h)
USA,2020,DDoS,Education,52.7,541631,Unknown,Zero-day,AI-based Detection,30.0,9.729871443842764e-05,Medium (24-72h)
USA,2016,Ransomware,Retail,11.58,523522,Unknown,Weak Passwords,Encryption,57.0,2.2119414274853777e-05,Medium (24-72h)
Russia,2021,DDoS,Government,91.69,686309,Unknown,Unpatched Software,Antivirus,42.0,0.00013359871428175938,Medium (24-72h)
India,2015,Man-in-the-Middle,Education,79.89,416328,Nation-state,Zero-day,Encryption,55.0,0.00019189196979304778,Medium (24-72h)
India,2021,Man-in-the-Middle,IT,53.49,582718,Hacker Group,Social Engineering,Encryption,20.0,9.179397238458397e-05,Fast (<24h)
Japan,2021,Man-in-the-Middle,Telecommunications,18.91,549640,Nation-state,Social Engineering,Encryption,17.0,3.4404337384469833e-05,Fast (<24h)
USA,2024,DDoS,Retail,15.34,1068,Insider,Social Engineering,Firewall,3.0,0.014363295880149812,Fast (<24h)
France,2018,DDoS,Telecommunications,12.72,959835,Unknown,Zero-day,Firewall,38.0,1.3252277735235744e-05,Medium (24-72h)
USA,2024,Ransomware,Retail,46.59,227390,Insider,Weak Passwords,AI-based Detection,40.0,0.0002048902766172655,Medium (24-72h)
France,2021,SQL Injection,Banking,62.9,577763,Insider,Zero-day,AI-based Detection,43.0,0.00010886816912817193,Medium (24-72h)
Japan,2018,SQL Injection,Healthcare,85.33,786644,Nation-state,Unpatched Software,Antivirus,41.0,0.00010847346448965479,Medium (24-72h)
China,2016,Malware,Healthcare,85.15,454802,Insider,Unpatched Software,Antivirus,48.0,0.00018722433058781626,Medium (24-72h)
China,2024,DDoS,Healthcare,53.53,371685,Unknown,Social Engineering,VPN,34.0,0.0001440198017138168,Medium (24-72h)
India,2023,Ransomware,Retail,4.32,217534,Unknown,Unpatched Software,VPN,48.0,1.985896457565254e-05,Medium (24-72h)
Australia,2024,Man-in-the-Middle,Telecommunications,31.68,376612,Nation-state,Unpatched Software,VPN,27.0,8.411840302486379e-05,Medium (24-72h)
UK,2020,Phishing,Banking,84.77,812206,Hacker Group,Unpatched Software,Encryption,39.0,0.00010437007360201721,Medium (24-72h)
Australia,2021,Man-in-the-Middle,Banking,82.87,255967,Unknown,Social Engineering,VPN,23.0,0.0003237526712427774,Fast (<24h)
USA,2023,DDoS,Healthcare,5.32,463332,Unknown,Weak Passwords,Encryption,16.0,1.1482047430352319e-05,Fast (<24h)
Australia,2023,DDoS,IT,31.48,771547,Hacker Group,Zero-day,Antivirus,5.0,4.0801143676276366e-05,Fast (<24h)
UK,2020,DDoS,Retail,86.0,809209,Unknown,Social Engineering,Encryption,26.0,0.00010627662322094787,Medium (24-72h)
India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49.0,0.00010353937094066992,Medium (24-72h)
Japan,2024,Phishing,Retail,94.75,478963,Insider,Zero-day,VPN,70.0,0.00019782321390170014,Medium (24-72h)
USA,2017,SQL Injection,Banking,39.59,910393,Unknown,Weak Passwords,Antivirus,52.0,4.348671397956707e-05,Medium (24-72h)
Australia,2024,Phishing,Banking,70.52,601198,Insider,Zero-day,Encryption,41.0,0.00011729912607826373,Medium (24-72h)
UK,2018,Ransomware,Government,6.6,152302,Hacker Group,Social Engineering,AI-based Detection,26.0,4.333495292248296e-05,Medium (24-72h)
USA,2016,SQL Injection,Healthcare,25.85,79102,Nation-state,Zero-day,AI-based Detection,4.0,0.000326793254279285,Fast (<24h)
India,2017,Ransomware,Retail,80.93,837506,Nation-state,Zero-day,Antivirus,8.0,9.663214353091203e-05,Fast (<24h)
Germany,2018,Malware,Banking,63.81,347441,Hacker Group,Social Engineering,Firewall,58.0,0.0001836570813461854,Medium (24-72h)
USA,2021,Ransomware,Telecommunications,3.63,231198,Insider,Unpatched Software,Encryption,42.0,1.5700827861832715e-05,Medium (24-72h)
Brazil,2016,DDoS,Government,80.09,555275,Unknown,Social Engineering,Antivirus,71.0,0.0001442348385934897,Medium (24-72h)
UK,2016,SQL Injection,Retail,24.51,46699,Unknown,Zero-day,Antivirus,53.0,0.0005248506391999829,Medium (24-72h)
UK,2024,Man-in-the-Middle,IT,56.23,706469,Unknown,Unpatched Software,Encryption,17.0,7.959301823576123e-05,Fast (<24h)
China,2018,Ransomware,IT,43.73,311165,Unknown,Social Engineering,AI-based Detection,34.0,0.00014053637137852906,Medium (24-72h)
France,2019,SQL Injection,Government,85.13,304257,Nation-state,Weak Passwords,Antivirus,20.0,0.00027979635636977946,Fast (<24h)
Brazil,2017,SQL Injection,Telecommunications,24.05,446378,Insider,Unpatched Software,Antivirus,59.0,5.387810331154313e-05,Medium (24-72h)
China,2021,Ransomware,Healthcare,32.72,994243,Hacker Group,Social Engineering,Firewall,54.0,3.2909459759837385e-05,Medium (24-72h)
UK,2015,Phishing,Healthcare,81.75,98634,Unknown,Social Engineering,VPN,5.0,0.000828821704483241,Fast (<24h)
USA,2018,Phishing,Telecommunications,42.46,93999,Nation-state,Social Engineering,Encryption,65.0,0.0004517069330524793,Medium (24-72h)
France,2017,SQL Injection,Education,14.54,171095,Hacker Group,Zero-day,AI-based Detection,63.0,8.4982027528566e-05,Medium (24-72h)
USA,2015,Man-in-the-Middle,IT,38.92,820182,Nation-state,Weak Passwords,Antivirus,16.0,4.745288240902629e-05,Fast (<24h)
Germany,2018,SQL Injection,Telecommunications,4.2,164890,Insider,Weak Passwords,Encryption,61.0,2.5471526472193586e-05,Medium (24-72h)
China,2015,SQL Injection,Telecommunications,75.91,605020,Insider,Unpatched Software,Antivirus,43.0,0.0001254669267131665,Medium (24-72h)
Australia,2024,Ransomware,Education,44.95,500747,Insider,Unpatched Software,AI-based Detection,58.0,8.976588976069753e-05,Medium (24-72h)
Japan,2020,Man-in-the-Middle,IT,35.79,854904,Insider,Weak Passwords,Firewall,12.0,4.186434968136773e-05,Fast (<24h)
China,2020,SQL Injection,Healthcare,62.44,55719,Unknown,Unpatched Software,Firewall,71.0,0.001120623126761069,Medium (24-72h)
Brazil,2015,Phishing,Retail,19.93,355008,Hacker Group,Unpatched Software,Antivirus,31.0,5.613957995312782e-05,Medium (24-72h)
UK,2019,Phishing,IT,75.31,428615,Unknown,Social Engineering,AI-based Detection,66.0,0.00017570546994388905,Medium (24-72h)
Australia,2015,Phishing,Healthcare,76.4,108767,Nation-state,Unpatched Software,VPN,48.0,0.0007024189322128955,Medium (24-72h)
India,2020,Man-in-the-Middle,IT,28.69,939469,Insider,Unpatched Software,Encryption,45.0,3.053852761506766e-05,Medium (24-72h)
UK,2019,Man-in-the-Middle,Government,23.93,325827,Nation-state,Zero-day,Antivirus,39.0,7.344388279669886e-05,Medium (24-72h)
UK,2017,Man-in-the-Middle,Education,30.44,996762,Hacker Group,Social Engineering,AI-based Detection,27.0,3.053888490933643e-05,Medium (24-72h)
Japan,2017,Phishing,IT,5.14,319868,Hacker Group,Unpatched Software,VPN,52.0,1.606912851551265e-05,Medium (24-72h)
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71.0,1.5258872052091673e-05,Medium (24-72h)
India,2023,Ransomware,IT,18.53,925373,Insider,Zero-day,AI-based Detection,4.0,2.0024357745471288e-05,Fast (<24h)
India,2015,Malware,Telecommunications,1.52,913114,Insider,Unpatched Software,VPN,15.0,1.664633331654098e-06,Fast (<24h)
Australia,2019,DDoS,Healthcare,84.89,163975,Nation-state,Unpatched Software,Firewall,22.0,0.0005177008690349139,Fast (<24h)
USA,2016,DDoS,Education,66.73,876135,Insider,Unpatched Software,AI-based Detection,67.0,7.616406147454445e-05,Medium (24-72h)
China,2024,Ransomware,Government,72.61,595380,Hacker Group,Zero-day,VPN,10.0,0.00012195572575498,Fast (<24h)
France,2020,DDoS,Government,44.16,840796,Nation-state,Weak Passwords,AI-based Detection,5.0,5.252165804784989e-05,Fast (<24h)
UK,2022,DDoS,Telecommunications,80.05,484908,Unknown,Weak Passwords,Firewall,42.0,0.00016508286107880257,Medium (24-72h)
Russia,2018,SQL Injection,Telecommunications,13.69,146100,Unknown,Social Engineering,Encryption,22.0,9.370294318959616e-05,Fast (<24h)
USA,2021,Phishing,IT,29.02,555756,Insider,Zero-day,AI-based Detection,21.0,5.221716004865444e-05,Fast (<24h)
