Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
UK,2022,DDoS,IT,29.05,186700,Insider,Weak Passwords,Antivirus,37.0,0.000155597214783,Medium (24-72h),3,Standard: Moderate Impact
Japan,2019,SQL Injection,Education,89.48,682430,Hacker Group,Zero-day,VPN,5.0,0.000131119675278,Fast (<24h),2,Critical: High Impact on Both
Australia,2018,SQL Injection,Education,75.2,60868,Insider,Social Engineering,Antivirus,46.0,0.0012354603404087,Medium (24-72h),1,Targeted: High Financial Impact
France,2016,SQL Injection,Government,29.33,182916,Nation-state,Unpatched Software,Antivirus,17.0,0.0001603468258654,Fast (<24h),4,Standard: Moderate Impact
France,2023,DDoS,Education,65.96,181879,Insider,Weak Passwords,Antivirus,64.0,0.0003626586906679,Medium (24-72h),3,Standard: Moderate Impact
Australia,2017,Phishing,Retail,95.2,715732,Unknown,Weak Passwords,Antivirus,11.0,0.0001330106799751,Fast (<24h),2,Critical: High Impact on Both
UK,2023,Malware,Banking,16.02,452477,Hacker Group,Zero-day,Encryption,23.0,3.54051145141079e-05,Fast (<24h),4,Standard: Moderate Impact
India,2018,Ransomware,Banking,11.19,168881,Insider,Social Engineering,AI-based Detection,5.0,6.625967397161314e-05,Fast (<24h),4,Standard: Moderate Impact
France,2017,SQL Injection,Healthcare,27.42,94235,Insider,Social Engineering,Antivirus,29.0,0.0002909746909322,Medium (24-72h),4,Standard: Moderate Impact
Australia,2015,Ransomware,Telecommunications,17.38,75314,Unknown,Unpatched Software,Encryption,6.0,0.0002307671880394,Fast (<24h),4,Standard: Moderate Impact
Russia,2019,Man-in-the-Middle,Retail,99.53,515797,Nation-state,Social Engineering,Firewall,46.0,0.0001929635108385,Medium (24-72h),5,Critical: High Impact on Both
Russia,2024,DDoS,Telecommunications,55.05,363906,Insider,Weak Passwords,Antivirus,31.0,0.0001512753293432,Medium (24-72h),1,Targeted: High Financial Impact
UK,2022,DDoS,Education,79.6,446296,Unknown,Zero-day,AI-based Detection,4.0,0.0001783569648842,Fast (<24h),2,Critical: High Impact on Both
Russia,2017,Ransomware,Telecommunications,65.18,329972,Nation-state,Unpatched Software,Firewall,48.0,0.0001975319117985,Medium (24-72h),1,Targeted: High Financial Impact
China,2017,Ransomware,Education,25.73,639190,Insider,Social Engineering,Encryption,33.0,4.025407155931726e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2022,Ransomware,Government,33.71,135105,Unknown,Unpatched Software,VPN,48.0,0.0002495096406498,Medium (24-72h),3,Standard: Moderate Impact
China,2015,DDoS,Education,94.74,103079,Nation-state,Social Engineering,Antivirus,57.0,0.0009191008837881,Medium (24-72h),1,Targeted: High Financial Impact
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71.0,9.227057604661682e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2021,SQL Injection,Government,75.25,597509,Nation-state,Social Engineering,Firewall,20.0,0.0001259395255971,Fast (<24h),2,Critical: High Impact on Both
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57.0,0.0001280612403957,Medium (24-72h),5,Critical: High Impact on Both
France,2020,Phishing,Retail,14.45,309967,Unknown,Zero-day,Firewall,26.0,4.661786577280807e-05,Medium (24-72h),4,Standard: Moderate Impact
France,2022,Ransomware,Banking,54.47,604250,Unknown,Social Engineering,AI-based Detection,63.0,9.014480761274306e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21.0,0.0002551933282789,Fast (<24h),4,Standard: Moderate Impact
Australia,2022,Ransomware,Government,84.51,305494,Insider,Social Engineering,Firewall,19.0,0.0002766339109769,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2023,Malware,Healthcare,61.56,907121,Unknown,Social Engineering,VPN,33.0,6.786305244835033e-05,Medium (24-72h),2,Critical: High Impact on Both
India,2024,Phishing,Banking,23.32,879162,Unknown,Zero-day,VPN,38.0,2.652525928099713e-05,Medium (24-72h),0,Widespread: High User Impact
Brazil,2017,Man-in-the-Middle,Telecommunications,43.71,57237,Unknown,Unpatched Software,Firewall,52.0,0.00076366685885,Medium (24-72h),3,Standard: Moderate Impact
Australia,2016,Phishing,Telecommunications,2.84,880127,Insider,Social Engineering,Antivirus,67.0,3.226807040347586e-06,Medium (24-72h),0,Widespread: High User Impact
China,2017,Phishing,IT,71.4,698847,Insider,Zero-day,AI-based Detection,17.0,0.0001021682857621,Fast (<24h),2,Critical: High Impact on Both
India,2022,Man-in-the-Middle,Banking,90.87,928859,Unknown,Unpatched Software,Firewall,32.0,9.782970289355003e-05,Medium (24-72h),2,Critical: High Impact on Both
India,2017,SQL Injection,IT,78.94,858565,Unknown,Weak Passwords,Encryption,29.0,9.194411605411354e-05,Medium (24-72h),2,Critical: High Impact on Both
China,2022,Malware,Telecommunications,34.33,571265,Unknown,Unpatched Software,Firewall,17.0,6.009470210847855e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2015,DDoS,Banking,40.64,259321,Nation-state,Social Engineering,AI-based Detection,62.0,0.0001567169646885,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2022,Man-in-the-Middle,Banking,59.43,121504,Insider,Weak Passwords,AI-based Detection,32.0,0.0004891196997629,Medium (24-72h),1,Targeted: High Financial Impact
France,2018,DDoS,Banking,50.75,670630,Nation-state,Zero-day,Antivirus,4.0,7.56751114623563e-05,Fast (<24h),2,Critical: High Impact on Both
China,2024,Ransomware,Banking,72.18,277175,Insider,Social Engineering,Firewall,72.0,0.0002604130964192,Medium (24-72h),3,Standard: Moderate Impact
USA,2016,Man-in-the-Middle,Retail,23.35,952463,Nation-state,Unpatched Software,Antivirus,26.0,2.451538799932386e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2020,DDoS,Government,78.32,624619,Unknown,Weak Passwords,AI-based Detection,67.0,0.000125388436791,Medium (24-72h),5,Critical: High Impact on Both
China,2018,Phishing,Healthcare,20.22,363934,Insider,Weak Passwords,Firewall,24.0,5.555952452917287e-05,Fast (<24h),4,Standard: Moderate Impact
Japan,2017,SQL Injection,IT,33.15,44750,Unknown,Unpatched Software,Firewall,22.0,0.000740782122905,Fast (<24h),4,Standard: Moderate Impact
UK,2021,DDoS,Banking,8.82,736601,Nation-state,Zero-day,AI-based Detection,26.0,1.1973918037037691e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2018,Ransomware,Education,43.32,42876,Unknown,Unpatched Software,Antivirus,40.0,0.0010103554436048,Medium (24-72h),3,Standard: Moderate Impact
Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55.0,0.0001685444582619,Medium (24-72h),5,Critical: High Impact on Both
USA,2017,Phishing,Government,55.34,785099,Insider,Social Engineering,Encryption,29.0,7.048792572656442e-05,Medium (24-72h),2,Critical: High Impact on Both
France,2019,DDoS,Healthcare,27.89,460544,Unknown,Weak Passwords,Firewall,29.0,6.055881739855475e-05,Medium (24-72h),4,Standard: Moderate Impact
France,2020,Ransomware,Education,66.04,881755,Unknown,Zero-day,Firewall,10.0,7.489608791557747e-05,Fast (<24h),2,Critical: High Impact on Both
India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49.0,4.798657875375481e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2017,Man-in-the-Middle,Telecommunications,43.82,213979,Hacker Group,Unpatched Software,Firewall,10.0,0.0002047864510068,Fast (<24h),4,Standard: Moderate Impact
UK,2021,Malware,Telecommunications,3.17,570243,Insider,Unpatched Software,Antivirus,51.0,5.559033604971915e-06,Medium (24-72h),0,Widespread: High User Impact
Brazil,2016,Malware,Government,72.73,47624,Nation-state,Weak Passwords,Firewall,70.0,0.0015271711741978,Medium (24-72h),3,Standard: Moderate Impact
China,2024,Man-in-the-Middle,Banking,16.09,72940,Nation-state,Zero-day,VPN,26.0,0.0002205922676172,Medium (24-72h),4,Standard: Moderate Impact
Japan,2020,Malware,Telecommunications,98.14,710142,Insider,Zero-day,AI-based Detection,56.0,0.0001381977125701,Medium (24-72h),5,Critical: High Impact on Both
Japan,2023,Malware,Retail,51.91,360524,Hacker Group,Unpatched Software,Firewall,47.0,0.0001439848664721,Medium (24-72h),3,Standard: Moderate Impact
France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3.0,0.0001807546425488,Fast (<24h),4,Standard: Moderate Impact
UK,2024,Phishing,Government,30.68,393201,Nation-state,Social Engineering,Firewall,3.0,7.802625120485451e-05,Fast (<24h),4,Standard: Moderate Impact
Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61.0,0.000212516989951,Medium (24-72h),3,Standard: Moderate Impact
Russia,2022,Malware,Healthcare,81.92,30180,Insider,Weak Passwords,AI-based Detection,53.0,0.0027143803843605,Medium (24-72h),1,Targeted: High Financial Impact
India,2017,Phishing,Retail,97.87,113745,Unknown,Unpatched Software,Encryption,2.0,0.000860433425645,Fast (<24h),1,Targeted: High Financial Impact
Japan,2024,Ransomware,Banking,24.22,584428,Nation-state,Weak Passwords,Firewall,34.0,4.144223069394348e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,Ransomware,Healthcare,3.27,178268,Nation-state,Unpatched Software,Antivirus,2.0,1.83431687122759e-05,Fast (<24h),4,Standard: Moderate Impact
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38.0,9.950439780493712e-05,Medium (24-72h),3,Standard: Moderate Impact
China,2024,DDoS,Healthcare,7.31,972407,Hacker Group,Zero-day,Encryption,51.0,7.517428401893445e-06,Medium (24-72h),0,Widespread: High User Impact
Brazil,2022,Ransomware,Banking,15.66,817169,Insider,Unpatched Software,Firewall,54.0,1.9163722559225817e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2015,Malware,Healthcare,62.34,796100,Hacker Group,Social Engineering,AI-based Detection,20.0,7.830674538374577e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2016,Man-in-the-Middle,Banking,76.06,530253,Unknown,Weak Passwords,Encryption,28.0,0.0001434409612015,Medium (24-72h),2,Critical: High Impact on Both
Australia,2024,Man-in-the-Middle,Government,50.36,165496,Nation-state,Weak Passwords,Encryption,72.0,0.000304297384831,Medium (24-72h),3,Standard: Moderate Impact
Russia,2021,Ransomware,Banking,34.92,501490,Insider,Social Engineering,Firewall,44.0,6.963249516441006e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2016,Malware,Banking,11.81,392365,Insider,Social Engineering,Antivirus,72.0,3.0099524677277537e-05,Medium (24-72h),3,Standard: Moderate Impact
China,2022,Malware,Education,96.72,194617,Insider,Social Engineering,Antivirus,31.0,0.0004969761120559,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2022,Man-in-the-Middle,Retail,44.34,516125,Unknown,Zero-day,Firewall,67.0,8.590942116735287e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2021,Man-in-the-Middle,Telecommunications,67.72,393335,Hacker Group,Social Engineering,Antivirus,31.0,0.0001721687619967,Medium (24-72h),1,Targeted: High Financial Impact
UK,2018,SQL Injection,Government,34.09,197436,Unknown,Zero-day,Antivirus,10.0,0.0001726635466682,Fast (<24h),4,Standard: Moderate Impact
France,2022,DDoS,Education,31.51,452360,Nation-state,Zero-day,Antivirus,65.0,6.965691042532497e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2018,DDoS,Healthcare,20.39,913090,Unknown,Zero-day,VPN,2.0,2.233076695615985e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2018,SQL Injection,Telecommunications,38.65,368222,Insider,Zero-day,VPN,56.0,0.0001049638533276,Medium (24-72h),3,Standard: Moderate Impact
India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64.0,9.347749586727888e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2015,Ransomware,Retail,89.93,673959,Hacker Group,Zero-day,Firewall,39.0,0.0001334354166944,Medium (24-72h),5,Critical: High Impact on Both
UK,2022,Ransomware,Education,4.29,383246,Nation-state,Unpatched Software,VPN,45.0,1.1193854599917548e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2019,Man-in-the-Middle,Banking,76.03,422890,Insider,Social Engineering,VPN,4.0,0.0001797867057627,Fast (<24h),2,Critical: High Impact on Both
Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66.0,8.51046706972346e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2023,Phishing,Government,72.57,720220,Unknown,Weak Passwords,Firewall,71.0,0.0001007608786204,Medium (24-72h),5,Critical: High Impact on Both
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57.0,0.0001159197246628,Medium (24-72h),5,Critical: High Impact on Both
Germany,2022,SQL Injection,IT,68.63,294981,Unknown,Zero-day,AI-based Detection,3.0,0.0002326590526169,Fast (<24h),1,Targeted: High Financial Impact
USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27.0,0.0001874230925165,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2017,Ransomware,Education,66.56,95750,Nation-state,Zero-day,Antivirus,44.0,0.0006951436031331,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2015,Ransomware,Retail,91.03,879260,Hacker Group,Social Engineering,Antivirus,16.0,0.0001035302413393,Fast (<24h),2,Critical: High Impact on Both
Russia,2017,Man-in-the-Middle,IT,14.74,561615,Hacker Group,Weak Passwords,Antivirus,29.0,2.624573773848633e-05,Medium (24-72h),0,Widespread: High User Impact
Brazil,2016,SQL Injection,Retail,40.29,206598,Unknown,Zero-day,Encryption,45.0,0.0001950164086777,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2017,Man-in-the-Middle,IT,56.83,171305,Unknown,Unpatched Software,Firewall,54.0,0.0003317474679664,Medium (24-72h),3,Standard: Moderate Impact
Russia,2024,SQL Injection,Government,63.45,492909,Unknown,Zero-day,AI-based Detection,42.0,0.0001287255862644,Medium (24-72h),5,Critical: High Impact on Both
UK,2021,Man-in-the-Middle,IT,72.57,477493,Hacker Group,Unpatched Software,Encryption,16.0,0.0001519812855895,Fast (<24h),2,Critical: High Impact on Both
Japan,2021,Phishing,Government,22.94,622723,Nation-state,Weak Passwords,AI-based Detection,67.0,3.6838208962893615e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2016,Malware,Healthcare,80.22,124155,Nation-state,Weak Passwords,Encryption,40.0,0.0006461278240908,Medium (24-72h),1,Targeted: High Financial Impact
China,2024,Malware,Retail,34.49,897277,Unknown,Zero-day,VPN,55.0,3.8438520100258895e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2017,SQL Injection,Healthcare,51.26,28682,Hacker Group,Zero-day,VPN,44.0,0.00178718359947,Medium (24-72h),3,Standard: Moderate Impact
Japan,2020,Phishing,Banking,73.04,512431,Nation-state,Unpatched Software,VPN,44.0,0.0001425362634188,Medium (24-72h),5,Critical: High Impact on Both
Australia,2018,SQL Injection,IT,19.14,171977,Unknown,Zero-day,Antivirus,44.0,0.0001112939520982,Medium (24-72h),3,Standard: Moderate Impact
UK,2015,SQL Injection,Telecommunications,38.72,943070,Hacker Group,Zero-day,VPN,36.0,4.105739764810672e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2021,DDoS,Education,14.88,887855,Nation-state,Zero-day,AI-based Detection,7.0,1.6759493385744295e-05,Fast (<24h),0,Widespread: High User Impact
USA,2018,Ransomware,Retail,54.05,535110,Nation-state,Zero-day,Antivirus,2.0,0.0001010072695333,Fast (<24h),2,Critical: High Impact on Both
USA,2021,Man-in-the-Middle,Telecommunications,42.29,817386,Nation-state,Zero-day,Firewall,8.0,5.173810170470255e-05,Fast (<24h),2,Critical: High Impact on Both
India,2018,Phishing,Banking,96.59,206552,Nation-state,Weak Passwords,Encryption,13.0,0.0004676304272047,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2020,Man-in-the-Middle,Education,71.35,154966,Hacker Group,Zero-day,Antivirus,19.0,0.0004604235767845,Fast (<24h),1,Targeted: High Financial Impact
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34.0,0.0001065937526281,Medium (24-72h),2,Critical: High Impact on Both
Germany,2023,SQL Injection,Banking,94.48,426499,Unknown,Unpatched Software,VPN,37.0,0.0002215245522263,Medium (24-72h),1,Targeted: High Financial Impact
UK,2016,Man-in-the-Middle,Telecommunications,73.63,15907,Hacker Group,Social Engineering,Antivirus,36.0,0.0046287797824856,Medium (24-72h),1,Targeted: High Financial Impact
UK,2022,Phishing,Education,36.15,375734,Nation-state,Weak Passwords,AI-based Detection,31.0,9.621168166841436e-05,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2023,Malware,Government,19.18,993826,Unknown,Zero-day,Firewall,7.0,1.9299152970439493e-05,Fast (<24h),0,Widespread: High User Impact
India,2023,Ransomware,Banking,83.18,397813,Nation-state,Social Engineering,Antivirus,12.0,0.0002090932171648,Fast (<24h),1,Targeted: High Financial Impact
France,2024,Ransomware,Banking,70.98,185001,Insider,Zero-day,VPN,3.0,0.0003836736017643,Fast (<24h),1,Targeted: High Financial Impact
Japan,2024,DDoS,IT,7.99,805548,Insider,Unpatched Software,Antivirus,10.0,9.918713720349378e-06,Fast (<24h),0,Widespread: High User Impact
Brazil,2015,SQL Injection,Retail,74.74,562552,Nation-state,Unpatched Software,Encryption,37.0,0.0001328588290504,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2018,Malware,Education,33.12,724513,Nation-state,Zero-day,VPN,46.0,4.571346545886685e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60.0,7.562255816716639e-05,Medium (24-72h),5,Critical: High Impact on Both
France,2020,Ransomware,Telecommunications,75.13,177097,Unknown,Unpatched Software,Encryption,15.0,0.0004242307887767,Fast (<24h),1,Targeted: High Financial Impact
Australia,2020,Man-in-the-Middle,Banking,56.34,407084,Unknown,Unpatched Software,Firewall,11.0,0.0001383989545155,Fast (<24h),4,Standard: Moderate Impact
UK,2023,Phishing,Healthcare,23.66,889641,Hacker Group,Social Engineering,AI-based Detection,50.0,2.659499730790285e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2019,SQL Injection,IT,17.81,378105,Unknown,Weak Passwords,Encryption,4.0,4.7103317861440605e-05,Fast (<24h),4,Standard: Moderate Impact
Germany,2020,SQL Injection,Education,43.96,597987,Hacker Group,Weak Passwords,Encryption,50.0,7.351330380091875e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2018,Malware,Education,77.07,10600,Insider,Social Engineering,Firewall,47.0,0.0072707547169811,Medium (24-72h),1,Targeted: High Financial Impact
France,2016,SQL Injection,Healthcare,10.82,586784,Hacker Group,Weak Passwords,Encryption,26.0,1.843949391939794e-05,Medium (24-72h),0,Widespread: High User Impact
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28.0,0.0001152504375621,Medium (24-72h),4,Standard: Moderate Impact
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47.0,0.0007461829509073,Medium (24-72h),1,Targeted: High Financial Impact
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38.0,2.3825629912539582e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59.0,2.601368024390131e-05,Medium (24-72h),3,Standard: Moderate Impact
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61.0,7.542598092856027e-05,Medium (24-72h),3,Standard: Moderate Impact
Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16.0,3.73998858949624e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33.0,0.0005557082466266,Medium (24-72h),1,Targeted: High Financial Impact
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29.0,0.0001485017395235,Medium (24-72h),1,Targeted: High Financial Impact
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16.0,0.001912478705281,Fast (<24h),1,Targeted: High Financial Impact
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21.0,6.242563350656727e-05,Fast (<24h),2,Critical: High Impact on Both
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35.0,0.0001189539277111,Medium (24-72h),2,Critical: High Impact on Both
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71.0,9.293710687416935e-05,Medium (24-72h),5,Critical: High Impact on Both
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56.0,8.979247909914534e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27.0,0.0010340674248475,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66.0,7.753306357439644e-05,Medium (24-72h),5,Critical: High Impact on Both
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67.0,3.062778967850956e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4.0,0.0001585771290968,Fast (<24h),4,Standard: Moderate Impact
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60.0,8.785248129691077e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33.0,1.9189855802896436e-05,Medium (24-72h),0,Widespread: High User Impact
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28.0,5.1703208436359294e-05,Medium (24-72h),2,Critical: High Impact on Both
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47.0,0.0001437719276724,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56.0,3.638343287121882e-06,Medium (24-72h),3,Standard: Moderate Impact
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68.0,0.0007758421336622,Medium (24-72h),3,Standard: Moderate Impact
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46.0,1.5911464746393117e-05,Medium (24-72h),0,Widespread: High User Impact
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68.0,3.14571200132819e-05,Medium (24-72h),0,Widespread: High User Impact
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23.0,0.0001316743782227,Fast (<24h),2,Critical: High Impact on Both
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29.0,9.521736764785896e-06,Medium (24-72h),0,Widespread: High User Impact
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13.0,0.000566732366189,Fast (<24h),1,Targeted: High Financial Impact
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39.0,6.108540197305726e-05,Medium (24-72h),0,Widespread: High User Impact
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23.0,0.0010444997685561,Fast (<24h),1,Targeted: High Financial Impact
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35.0,0.0001656429233289,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41.0,0.0003316531640919,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64.0,6.909046911404736e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32.0,0.0003780704665152,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56.0,0.0005665559915484,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51.0,6.5052523847034e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11.0,0.000151067689372,Fast (<24h),2,Critical: High Impact on Both
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1.0,6.00508852237949e-05,Fast (<24h),2,Critical: High Impact on Both
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9.0,0.0001041441473901,Fast (<24h),2,Critical: High Impact on Both
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57.0,8.088208539861804e-05,Medium (24-72h),5,Critical: High Impact on Both
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57.0,6.971221011455714e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60.0,9.64436083970879e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17.0,7.106102530117683e-05,Fast (<24h),2,Critical: High Impact on Both
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5.0,6.957423253528764e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31.0,0.0005054566637282,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49.0,1.2207932944832084e-05,Medium (24-72h),0,Widespread: High User Impact
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11.0,5.9536473381877575e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27.0,4.168173729365297e-05,Medium (24-72h),0,Widespread: High User Impact
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48.0,0.0001489890720324,Medium (24-72h),3,Standard: Moderate Impact
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11.0,0.0001779403004831,Fast (<24h),4,Standard: Moderate Impact
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11.0,1.527180463995e-05,Fast (<24h),4,Standard: Moderate Impact
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2.0,4.089795130533287e-05,Fast (<24h),4,Standard: Moderate Impact
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32.0,0.0003003358316838,Medium (24-72h),1,Targeted: High Financial Impact
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36.0,0.0001412202468844,Medium (24-72h),4,Standard: Moderate Impact
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72.0,0.000136798217125,Medium (24-72h),5,Critical: High Impact on Both
